latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.39975,103.12169,340.72,0.38,0.59,2025-01-02,0556,N20,VIIRS,n,2,290.82,2.9,D,0
-4.39749,103.12086,342.96,0.38,0.59,2025-01-02,0556,N20,VIIRS,n,2,291.4,3.76,D,0
-3.7382,103.08326,349.23,0.38,0.58,2025-01-02,0557,N20,VIIRS,n,2,286.59,7.6,D,0
-3.73865,103.0802,332.28,0.38,0.59,2025-01-02,0557,N20,VIIRS,n,2,286.96,6.37,D,0
-2.19342,103.45049,311.68,0.45,0.39,2025-01-02,1839,N20,VIIRS,n,2,283.57,2.07,N,0
-2.19646,103.45075,305.22,0.45,0.39,2025-01-02,1839,N20,VIIRS,n,2,284.18,1.48,N,0
-3.31532,104.32404,301.86,0.39,0.36,2025-01-03,1820,N20,VIIRS,n,2,281.28,0.37,N,0
-3.06842,104.20195,305.88,0.39,0.36,2025-01-03,1820,N20,VIIRS,n,2,276.56,0.8,N,0
-4.0678,102.64227,339.39,0.47,0.48,2025-01-04,0659,N20,VIIRS,n,2,287.27,8.69,D,0
-2.84222,102.8253,340.59,0.5,0.49,2025-01-04,0700,N20,VIIRS,n,2,280.17,6.9,D,0
-3.66599,102.35732,334.63,0.45,0.47,2025-01-04,0700,N20,VIIRS,n,2,291.38,16.28,D,0
-3.28095,104.36423,345.01,0.63,0.54,2025-01-04,0700,N20,VIIRS,n,2,292.4,13.88,D,0
-3.17682,104.06651,344.42,0.6,0.53,2025-01-04,0700,N20,VIIRS,n,2,287.39,14.46,D,0
-4.44002,103.23213,332.03,0.41,0.37,2025-01-05,0640,N20,VIIRS,n,2,293.61,1.71,D,0
-4.23124,102.88432,345.13,0.41,0.37,2025-01-05,0640,N20,VIIRS,n,2,298.2,8.52,D,0
-4.45353,102.96379,332.26,0.41,0.37,2025-01-05,0640,N20,VIIRS,n,2,296.38,1.49,D,0
-1.96727,102.18089,335.55,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,292.22,8.52,D,0
-1.92735,102.06854,329.15,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,292.86,1.56,D,0
-3.46725,102.09218,330.52,0.39,0.36,2025-01-05,0641,N20,VIIRS,n,2,296.71,2.85,D,0
-4.05852,102.75307,332.22,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,294.47,2.83,D,0
-4.14113,102.67478,340.93,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,296.27,16.06,D,0
-2.03781,102.20372,325.12,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,294.22,2.21,D,0
-3.31142,102.18249,333.73,0.39,0.37,2025-01-05,0641,N20,VIIRS,n,2,291.64,5.28,D,0
-3.78477,102.41366,334.89,0.4,0.37,2025-01-05,0641,N20,VIIRS,n,2,295.67,3.81,D,0
-3.19036,102.03681,329.48,0.6,0.7,2025-01-08,0725,N20,VIIRS,n,2,283.11,3.97,D,0
-3.19072,102.03342,337.5,0.6,0.7,2025-01-08,0725,N20,VIIRS,n,2,283.46,4.9,D,0
-1.56362,103.69664,312.81,0.38,0.36,2025-01-08,1826,N20,VIIRS,n,2,289.43,1.34,N,0
-3.86724,105.88229,333.04,0.4,0.37,2025-01-11,0628,N20,VIIRS,n,2,293.16,2.76,D,0
-2.51138,104.4423,327.04,0.39,0.36,2025-01-11,0628,N20,VIIRS,n,2,284.97,3.85,D,0
-2.85207,104.45635,329.8,0.39,0.36,2025-01-11,0628,N20,VIIRS,n,2,289.4,4.07,D,0
-2.85155,104.4598,331.39,0.39,0.36,2025-01-11,0628,N20,VIIRS,n,2,287.79,4.35,D,0
-3.1832,104.35385,333.24,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,285.55,3.47,D,0
-3.30315,104.43567,333.3,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,283.76,4.21,D,0
-3.39886,104.4086,330.54,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,289.22,2.33,D,0
-3.4361,104.54493,337.03,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,291.1,11.28,D,0
-3.4394,104.54543,329.65,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,286.34,11.28,D,0
-3.5511,104.45793,343.52,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,288.75,11.21,D,0
-3.45938,105.57256,338.4,0.4,0.37,2025-01-11,0628,N20,VIIRS,n,2,288.4,4.02,D,0
-3.67078,104.29298,331.78,0.38,0.36,2025-01-11,0628,N20,VIIRS,n,2,286.63,2.72,D,0
-3.6438,104.65205,333.24,0.39,0.36,2025-01-11,0628,N20,VIIRS,n,2,287.31,2.96,D,0
-3.89041,105.22155,342.58,0.42,0.45,2025-01-23,0603,N20,VIIRS,n,2,288.77,5.19,D,0
-3.74776,105.76227,339.69,0.47,0.48,2025-01-26,0647,N20,VIIRS,n,2,284.32,3.18,D,0
-3.74769,105.76165,339.29,0.47,0.48,2025-01-26,0647,N20,VIIRS,n,2,284.75,3.87,D,0
-4.0859,102.61775,344.32,0.39,0.59,2025-01-30,0712,N20,VIIRS,n,2,282.95,4.36,D,0
-4.08709,102.61952,347.12,0.39,0.59,2025-01-30,0712,N20,VIIRS,n,2,281.7,4.78,D,0
-4.36156,102.93641,328.19,0.4,0.6,2025-01-30,0712,N20,VIIRS,n,2,285.82,2.77,D,0
-2.52971,103.96062,314.33,0.45,0.39,2025-01-30,1814,N20,VIIRS,n,2,288.76,1.72,N,0
-2.52658,103.96038,302.96,0.45,0.39,2025-01-30,1814,N20,VIIRS,n,2,288.44,0.53,N,0
-2.19578,103.45036,319.51,0.48,0.4,2025-01-30,1814,N20,VIIRS,n,2,281.77,1.52,N,0
-2.53013,103.95982,308.02,0.45,0.39,2025-01-30,1814,N20,VIIRS,n,2,288.77,1.08,N,0
-4.03781,102.59223,332.94,0.56,0.43,2025-01-31,0653,N20,VIIRS,n,2,296.52,7.98,D,0
-4.20031,102.68283,336.38,0.56,0.43,2025-01-31,0653,N20,VIIRS,n,2,297.14,5.58,D,0
-4.43905,103.15128,353.98,0.4,0.44,2025-01-31,0653,N20,VIIRS,n,2,299.98,16.3,D,0
-4.16022,102.83372,339.37,0.38,0.43,2025-01-31,0653,N20,VIIRS,n,2,296.4,9.15,D,0
-4.13895,102.81354,336.4,0.57,0.43,2025-01-31,0653,N20,VIIRS,n,2,295.96,5.63,D,0
-4.19481,102.66647,330.81,0.56,0.43,2025-01-31,0653,N20,VIIRS,n,2,294.12,2.8,D,0
-3.93881,104.10939,333.19,0.47,0.47,2025-01-31,0653,N20,VIIRS,n,2,292.35,3.12,D,0
-3.84944,102.43996,332.72,0.55,0.43,2025-01-31,0653,N20,VIIRS,n,2,292.59,7.83,D,0
-3.96163,102.61702,334.26,0.56,0.43,2025-01-31,0653,N20,VIIRS,n,2,297.59,5.75,D,0
-1.54117,105.71967,329.83,0.33,0.55,2025-01-31,0654,N20,VIIRS,n,2,289.79,2.46,D,0
-3.51198,102.10846,333.58,0.53,0.42,2025-01-31,0654,N20,VIIRS,n,2,296.4,21.77,D,0
-3.50598,102.14664,333.71,0.53,0.42,2025-01-31,0654,N20,VIIRS,n,2,293.95,9.72,D,0
-3.51731,102.09956,334.13,0.53,0.42,2025-01-31,0654,N20,VIIRS,n,2,296.11,11.27,D,0
-3.51828,102.14374,336.32,0.53,0.42,2025-01-31,0654,N20,VIIRS,n,2,297.4,22.27,D,0
-3.35821,103.93197,339.54,0.46,0.47,2025-01-31,0654,N20,VIIRS,n,2,292.42,5.42,D,0
-2.19342,103.44952,309.64,0.32,0.55,2025-01-31,1755,N20,VIIRS,n,2,276.97,1.9,N,0
-2.19387,103.45238,310.24,0.32,0.54,2025-01-31,1755,N20,VIIRS,n,2,277.79,2.04,N,0
-2.19368,103.45063,325.81,0.32,0.54,2025-01-31,1755,N20,VIIRS,n,2,276.78,2.48,N,0
-4.14518,103.28912,325.65,0.39,0.36,2025-02-01,0634,N20,VIIRS,n,2,278.24,1.13,D,0
-4.1876,102.76255,336.3,0.38,0.36,2025-02-01,0634,N20,VIIRS,n,2,291.47,5.93,D,0
-3.4245,103.07347,331.07,0.39,0.36,2025-02-01,0635,N20,VIIRS,n,2,289.58,2.64,D,0
-3.3909,102.24312,326.55,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,283.09,1.92,D,0
-3.23156,102.06237,334.99,0.39,0.36,2025-02-01,0635,N20,VIIRS,n,2,284.93,3.87,D,0
-3.66959,102.4873,325.5,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,291.94,2.26,D,0
-3.85049,102.54803,329.69,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,287.91,2.14,D,0
-3.69574,102.98542,336.14,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,286.52,8.81,D,0
-3.70716,102.37318,329.36,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,293.93,1.79,D,0
-2.86623,103.26268,347.31,0.39,0.36,2025-02-01,0635,N20,VIIRS,n,2,275.64,11.09,D,0
-2.27386,105.82907,336.24,0.48,0.4,2025-02-01,0635,N20,VIIRS,n,2,277.46,4.43,D,0
-2.89141,104.07632,326.57,0.4,0.37,2025-02-01,0635,N20,VIIRS,n,2,276.33,1.95,D,0
-2.0964,102.61359,343.22,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,289.84,9.75,D,0
-1.91872,102.55402,330.81,0.38,0.36,2025-02-01,0635,N20,VIIRS,n,2,284.84,1.18,D,0
-1.69441,105.87139,329.97,0.49,0.4,2025-02-01,0635,N20,VIIRS,n,2,274.76,3.15,D,0
-3.32957,105.31538,340.99,0.54,0.42,2025-02-06,0641,N20,VIIRS,n,2,289.57,9.74,D,0
-1.66917,105.65582,339.85,0.39,0.44,2025-02-06,0641,N20,VIIRS,n,2,292.29,4.87,D,0
-1.73148,105.78964,339.84,0.4,0.44,2025-02-06,0641,N20,VIIRS,n,2,293.03,4.63,D,0
-1.80348,105.56922,339.16,0.39,0.44,2025-02-06,0641,N20,VIIRS,n,2,292.19,4.72,D,0
-1.80293,105.57269,334.12,0.39,0.44,2025-02-06,0641,N20,VIIRS,n,2,291.22,4.72,D,0
-1.85952,105.34202,341.53,0.56,0.43,2025-02-06,0641,N20,VIIRS,n,2,294.12,9.04,D,0
-2.31838,102.62574,337.03,0.41,0.37,2025-02-06,0641,N20,VIIRS,n,2,295.42,4.38,D,0
-3.32801,105.316,342.39,0.54,0.42,2025-02-06,0641,N20,VIIRS,n,2,291.33,11.02,D,0
-3.57233,105.62932,337.52,0.56,0.43,2025-02-06,0641,N20,VIIRS,n,2,294,4.46,D,0
-2.23389,102.7879,333.54,0.42,0.38,2025-02-06,0641,N20,VIIRS,n,2,294.39,11.47,D,0
-2.19188,103.44746,295.6,0.53,0.67,2025-02-06,1743,N20,VIIRS,n,2,270.65,0.6,N,0
-2.19265,103.45215,295.85,0.53,0.67,2025-02-06,1743,N20,VIIRS,n,2,269.84,0.77,N,0
