"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-4.49032,2,333.825,4.03,4.47
-3.84906,2,319.975,5.465,6.59
-3.80786,2,329.9,3.255,4.37
-3.80109,2,324.04,2.725,3.44
-3.72785,2,351.045,48.625,73.73
-3.72516,2,328.545,2.83,3.94
-3.72501,2,339.37,6.975,9.16
-3.72481,2,339.115,4.405,4.6
-3.72379,2,335.14,4.345,4.52
-3.47124,2,324.475,2.57,3.61
-3.45485,2,323.8,6.895,10.74
-3.37199,2,331.39,3.94,4.56
-3.14214,2,340.42,5.655,6.01
-3.12534,2,331.535,4.465,6.72
-2.68379,2,304.295,0.795,0.8
-2.65108,2,338.275,8.85,12.74
-2.60096,2,332.485,3.57,4.76
-2.58352,2,330.14,2.425,2.48
-2.36643,2,315.585,2.03,3.12
-2.17285,2,321.915,5.18,9.83
-2.14683,2,341.2,9.625,13.72
-1.67484,2,351.025,14.175,19.04
-1.57128,2,317.785,1.435,2.09
-4.49999,1,301.38,0.64,0.64
-4.49871,1,344.38,67.94,67.94
-4.49788,1,332.41,4.21,4.21
-4.497,1,333.78,3.2,3.2
-4.4964,1,332.05,3.37,3.37
-4.49549,1,331.32,4.76,4.76
-4.49521,1,327.72,2.12,2.12
-4.49415,1,335.8,15.51,15.51
-4.49413,1,338.83,6.11,6.11
-4.49405,1,330.96,4.7,4.7
-4.49396,1,333.22,2.38,2.38
-4.49356,1,330.37,3.8,3.8
-4.49229,1,341.53,50.14,50.14
-4.49189,1,347.21,5.97,5.97
-4.49181,1,326.36,2.97,2.97
-4.49169,1,334.66,4.96,4.96
-4.48857,1,332.85,10.04,10.04
-4.48721,1,352.58,14,14
-4.48364,1,308.78,2.41,2.41
-4.48304,1,367,13.2,13.2
-4.48273,1,353.83,9.9,9.9
-4.48121,1,351.22,39.44,39.44
-4.47986,1,367,14.2,14.2
-4.47979,1,343.49,9.21,9.21
-4.47953,1,343.62,9.69,9.69
-4.47934,1,367,9.9,9.9
-4.47926,1,304.65,2.11,2.11
-4.47771,1,338.02,5.03,5.03
-4.47726,1,367,11.9,11.9
-4.47716,1,338.83,20.85,20.85
-4.477,1,332.5,4.69,4.69
-4.47642,1,341.19,13.35,13.35
-4.47504,1,302.96,0.61,0.61
